"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"ASIASAT 4",27718,49,-0.03908519,38.17810727,35782.43,250.57,40.05,86.23398244,-2.92294287,1629696621,FALSE
"INMARSAT 4-F1",28628,49,0.84096607,143.56913257,35776.03,97.01,15.59,205.55606712,-1.71762269,1629696622,FALSE
"CUBESAT XI-V",28895,49,44.21741185,140.5939462,694.73,48.36,-23.77,262.26428314,27.44165354,1629696623,FALSE
"PAKSAT 1R",37779,49,-0.01632112,38.04605009,35770.24,250.68,39.93,86.09775825,-2.89800048,1629696624,FALSE
"NIGERIASAT X",37790,49,74.72724801,82.74813122,700.7,1.34,-23.3,310.7103099,49.18979591,1629696625,FALSE
"INTELSAT 20",38740,49,-0.00100677,68.47915186,35781.41,210.57,66.6,120.87318137,-2.93328621,1629696626,FALSE
"SOCRATES",39768,49,-21.58369604,94.97071406,628.26,156.71,-14.12,217.34452751,-67.21605906,1629696627,FALSE
"TESS",43435,49,-10.7578316,-0.94159324,264160.79,256.49,5.34,51.85733082,-11.26658896,1629696628,FALSE
"KEPLER-2 (TARS)",46319,49,-62.86256553,-91.99560798,558.21,186.09,-66.15,315.75123048,-41.18011114,1629696629,TRUE
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,49,-12.43813278,-60.67908898,422.88,271.63,-69.47,341.2821526,-15.81401489,1629698403,TRUE
"MARS ORBITER MISSION",39370,50,270,-151.7733674,-6399.59,0,-89.89,319.94655697,-17.35853058,1629698404,FALSE
"RESOURCESAT 2",37387,50,-32.66303775,60.59908865,829.57,199.02,-19.41,40.92815052,-71.92553725,1629698405,FALSE
"YOUTHSAT",37388,50,45.99499527,41.04088396,807.66,320.88,-12.3,14.98781406,41.22921626,1629698406,FALSE
"SWAYAM",41607,51,7.07352034,-133.31494232,490.24,54.68,-69.31,303.16331377,-4.94407241,1629698407,TRUE
"CARTOSAT 2AT",29710,51,15.55282896,-103.26610898,386.58,3.08,-73.01,319.09154464,-0.53286157,1629698408,TRUE
"OCEANSAT 2",35931,51,53.45173011,-102.73125389,731.33,0.76,-52.45,319.53867019,20.05106868,1629698410,FALSE
"IRNSS-1A",39199,51,13.82981293,51.63263144,35854.6,266.02,59.54,108.70857493,12.96794863,1629698411,FALSE
"INS-1A",41949,51,-81.35919974,-1.94948118,511.88,188.92,-51.3,329.77428236,-55.46701529,1629698412,FALSE
"KALAMSAT-V2/PSLV",43948,51,10.61780561,-71.68290451,444.92,311.4,-68.94,335.67115257,-3.12101303,1629698413,TRUE
"CHINASAT 2E",49062,52,5.67494057,145.07229632,34857.66,91.47,15.43,214.84582536,3.29682139,1629698414,FALSE
"COSMOS 2550",48865,52,24.00842832,-29.99702074,469.89,298.69,-47.72,356.34321547,4.84858165,1629698415,TRUE
"CHALLENGEONE",47956,52,17.99260705,71.75072506,545.45,276.49,32.88,80.5639558,14.18085232,1629698416,FALSE
"CALSPHERE 1",900,53,88.04862073,-31.02957294,1006.21,358.07,-31.09,322.35996077,41.3963452,1629698417,FALSE
"HISPASAT 1D",27528,53,-0.31203491,-142.98457052,35800.4,71.71,-51.22,283.49046252,-2.61832757,1629698418,FALSE
"INTEGRAL",27540,54,58.90442195,150.67393457,132197.86,32.57,21.52,217.10769998,59.16529662,1629698419,FALSE
"ASIASAT 4",27718,53,-0.00689225,38.17951289,35781.46,250.61,40.07,93.75584639,-2.87136616,1629698421,FALSE
"INMARSAT 4-F1",28628,54,0.40145608,143.56008507,35777.33,97.46,15.45,213.0652283,-2.18762487,1629698422,FALSE
"CUBESAT XI-V",28895,54,-63.75084866,108.59680589,710.77,167.03,-38.93,294.62957949,-65.71559709,1629698423,FALSE
"PAKSAT 1R",37779,54,-0.02019324,38.05149337,35770.78,250.68,39.93,93.62443402,-2.8864867,1629698424,FALSE
"NIGERIASAT X",37790,53,-32.62168179,39.61565504,712.79,216.83,-26.14,29.27729748,-54.8916065,1629698426,FALSE
"INTELSAT 20",38740,54,0.00517109,68.48099025,35780.53,210.58,66.61,128.39950826,-2.91321874,1629698427,FALSE
"SOCRATES",39768,54,-46.85880641,-80.98522064,630.89,205.67,-72.3,329.07499078,-33.22611871,1629698428,TRUE
"TESS",43435,54,-10.67006549,-8.12560688,265347.26,258.81,-1.32,52.18767592,-11.1453615,1629698429,FALSE
"KEPLER-2 (TARS)",46319,54,49.23620625,-122.98669982,537.28,14.84,-53.82,310.98019998,17.55356161,1629698430,TRUE
